id,question,level_1_knowledge,level_2_knowledge,level_3_knowledge,level_4_knowledge,level_5_knowledge,level_6_knowledge,level_7_knowledge,level_8_knowledge,level_9_knowledge
1,某种松鼠的体长是$20cm$到$28cm$之间，它的尾巴约占体长的$3/4$，尾巴最长约是（    ）cm，最短约是（    ）cm.,029210500000000,029210506000000,029210506010000,029210400000000,029210409200000,029210409220000,029210500000000,029210506000000,029210506020000
2,在$1/6$、$0.166$、$0.1616$三个数中，最大的数是（?????），最小的数是（?????）.,029210100000000,029210101000000,029210101050000,029210100000000,029210101000000,029210101040000,029210100000000,029210102200000,029210102250000
3,观察右图，学校在公园的（??????）.,029210300000000,029210301000000,029210301070000,029210500000000,029210503000000,029210503020000,029210300000000,029210301000000,029210301030000
4,淘气用$4$个正方体搭了一个立体图形，从正面看到的形状如图所示，最多能搭出（????）个这样的立体图形.,029210400000000,029210401000000,029210401020000,029210400000000,029210401000000,029210401030000,029210400000000,029210401100000,029210401140000
5,海洋馆在大门的东北方向，大门在海洋馆的（????）方向。,029210400000000,029210402000000,029210402030000,029210300000000,029210301000000,029210301070000,029210500000000,029210503000000,029210503010000
6,如果A点在B点的东偏南$30°$方向$500m$处，那么$B$点就在$A$点的（????）方向$500m$处。,029210400000000,029210402000000,029210402030000,029210400000000,029210402000000,029210402070000,029210500000000,029210503000000,029210503030000
7,填上适当的单位。一个文具盒的体积约是$0.35$（______）；一袋牛奶的容积约是$250$（______）一节课的时间是$40$（______）；水桶的容积大约是$12$（______）,029210100000000,029210101000000,029210101040000,029210400000000,029210403100000,029210403110000,029210100000000,029210101000000,029210101090000
8,在括号里填上适当的单位。一个鞋盒的体积约是$6$（________）               一只茶杯的容积是$260$（________）一本数学书的厚度约是$13$（________）           一瓶雪碧约是$1.75$（________）一个哈密瓜约重$4$（________）                 一间教室面积约是$55$（________）,029210100000000,029210101000000,029210101040000,029210400000000,029210403100000,029210403110000,029210100000000,029210101100000,029210101130000
9,把36颗糖果平均分给$9$个小朋友，每个小朋友分得这堆糖果的几分之几，是（    ）颗糖，$3$个小朋友能分得这堆糖果的几分之几。,029210100000000,029210104100000,029210104120000,029210100000000,029210104000000,029210104020000,029210100000000,029210104100000,029210104100000
10,一袋$10$千克的大米，每天吃$2/5$千克，可以吃（______）天；笑笑攒了$30$元零花钱，她拿出其中的$5/6$捐给山区小学，还剩（______）元。,029210100000000,029210104100000,029210104120000,029210100000000,029210104000000,029210104020000,029210100000000,029210104100000,029210104100000
11,如图，如果把一个圆看作“单位$1$”，阴影部分用分数表示是_______；如果把两个圆看作“单位$1$”，阴影部分用分数表示是_______。,029210100000000,029210104100000,029210104130000,029210400000000,029210409200000,029210409220000,029210400000000,029210401000000,029210401010000
12,图中阴影部分可以用分数表示为（______），它的分数单位是（______），它有（______）个这样的分数单位，再添上（______）个这样的分数单位就是最小的质数。,029210100000000,029210104100000,029210104130000,029210100000000,029210101000000,029210101090000,029210200000000,029210201000000,029210201030000
13,在$1/2$、$2/5$和$4/7$这三个数中，最大的数是（________）；最小的数是（________）。,029210100000000,029210101000000,029210101050000,029210100000000,029210104100000,029210104100000,029210100000000,029210102200000,029210102250000
14,在○里填上“＞”“＜”或“＝”．,029210100000000,029210101000000,029210101050000,029210100000000,029210102200000,029210102250000,029210100000000,029210102200000,029210102250000
15,小红搭了$5$个立体图形，从右面看是?的立体图形有（????）个。,029210400000000,029210401000000,029210401020000,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000
16,林林用$4$个小正方体搭了一个立体图形，从上面、左面和前面看到的形状如下图，那么搭成的立体图形是（????）。,029210400000000,029210401000000,029210401020000,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000
17,如图，冬冬搭了个立体图形，要保证从正面和左面看到的图形不变，可以增加和移动小正方体，还有（????）种摆法。,029210400000000,029210401000000,029210401020000,029210400000000,029210401100000,029210401140000,029210400000000,029210401000000,029210401030000
18,在(　　)里填上合适的数。$0.5$元＝（____）角    $3$元$8$角＝（____）元    $6$分米＝（____）米    $5.4$元＝（____）元（____）角    $3.6$米＝（____）分米,029210100000000,029210101000000,029210101040000,029210400000000,029210403100000,029210403110000,029210100000000,029210101100000,029210101130000
19,在括号里填上适合的“＞”“＜”或“＝”。,029210100000000,029210105000000,029210105070000,029210100000000,029210101000000,029210101050000,029210100000000,029210102200000,029210102250000
20,$3$、$6$、$9$、$12$、$15$、$18$、…、$96$、$99$。这列数中，每个数都是（______）的倍数，第$10$个数是（______）。,029210100000000,029210102200000,029210102250000,029210100000000,029210101000000,029210101050000,029210100000000,029210101100000,029210101130000
21,下列函数中，既在$R$上单调递增，又是奇函数的是,029210300000000,029210303000000,029210303070000,029210300000000,029210303100000,029210303120000,029210300000000,029210303000000,029210303030000
22,"已知集合$U ={1,2,3,4,5}$， $A={2,3,5}$， $B ={2,5}$，则",029210100000000,029210101000000,029210101010000,029210100000000,029210101000000,029210101050000,029210100000000,029210101000000,029210101090000
